original_word,meaning,generated_word,model,language,trial
a,"['Expressing invocation, surprise, or admiration; (also) used to gain attention.']",Zelmir,Qwen/Qwen3-32b-thinking,en,trial6
achoo,['Representing the sound of a sneeze.'],Zaela,Qwen/Qwen3-32b-thinking,en,trial6
atishoo,['Representing the sound of a sneeze.'],Zaela,Qwen/Qwen3-32b-thinking,en,trial6
atichoo,['Representing the sound of a sneeze.'],Zaela,Qwen/Qwen3-32b-thinking,en,trial6
ahem,"['An exclamation representing a slight cough or clearing of the throat, used (a) to attract attention, esp. prior to speaking (b) to express hesitation, (mock) disapproval, embarrassment, suggestiveness, etc.']",Zaela,Qwen/Qwen3-32b-thinking,en,trial6
ai,"['An exclamation of surprise, regret, pain, etc., often used in imitation of foreign speakers of English.']",Zaela,Qwen/Qwen3-32b-thinking,en,trial6
aie,"['Awailing exclamation of resignation, surprise, regret, alarm, etc.; sometimes imitative of non-British speakers of English.']",Zaela,Qwen/Qwen3-32b-thinking,en,trial6
alew,['A cry of sorrow or lamentation.'],Zaela,Qwen/Qwen3-32b-thinking,en,trial6
arf,"['Representing the bark of a (small) dog, or a human imitation of such a bark.']",Zaela,Qwen/Qwen3-32b-thinking,en,trial6
argh,"['Expressing pain or fright; (also) expressing anguish, disappointment, or frustration.']",Zaela,Qwen/Qwen3-32b-thinking,en,trial6
a,"['Expressing invocation, surprise, or admiration; (also) used to gain attention.']",Xel’thra /zɛlˈθɾa/,Qwen/Qwen3-32b-thinking,en,trial12
achoo,['Representing the sound of a sneeze.'],"  
1. **Xa'thun** /xaˈtʰun/ – invocation (calling upon a higher power or force)  
2. **Virello** /viˈrɛllo/ – surprise (expressing sudden astonishment)  
3. **Luminar** /luˈmi.nar/ – admiration (praising brilliance or beauty)  
4. **Zyphra** /ˈzɪf.ra/ – attention-grabbing exclamation (used to interrupt or demand focus)  
5. **Aelthorin** /ˈɛl.θo.rin/ – awe-inspired gasp (blending surprise and reverence)  
6. **Kyr'vex** /kɪrˈvɛks/ – urgent call (summoning someone or something immediately)  
7. **Noshari** /noˈʃa.ri/ – exclamatory admiration (for something extraordinary)  
8. **Threl'zun** /θrɛlˈzun/ – startled cry (reacting to sudden danger or wonder)  
9. **Ommira** /oˈmi.ra/ – invocation of unity or collective focus  
10. **Pyrrith** /ˈpir.ɪθ/ – sharp, attention-seeking snap (literal or metaphorical)  
",Qwen/Qwen3-32b-thinking,en,trial12
